"Store Locator","Store Locator"
"Find a Store","Find en butik"
"Find a store near city, state or postal code.","Find en butik i nærheden af ​​by, stat eller postnummer."
"Your prefferred store:","Din prefferred butik:"
"No saved store yet.","Ingen gemt butik endnu."
"Other store near you:","Anden butik i nærheden af ​​dig:"
"Other store near ZIP/Postal code.","Anden butik i nærheden af ​​postnummer."
"We could not find store near you.","Vi kunne ikke finde butikken i nærheden af ​​dig."
"We could not find store near ZIP/Postal code.","Vi kunne ikke finde butik i nærheden af ​​postnummer."
"Find a store on map.","Find en butik på kort."
"Find","Find"
"My Store","Min butik"
"You do not have any saved store","Du har ikke nogen gemt butik"
"Stores Near you","Butikker i nærheden af ​​dig"
"No store Found.","Ingen butik fundet."
"Remove","Fjerne"
"Save","Gemme"
